Current Configuration: {'resume': '', 'sched_type': None, 'batch_size': 512, 'base_lr': 0.05, 'wd': 0.0001, 'epochs': 600, 'init_lr': 0.1}
Epoch: 192, Loss: -0.860433888135466, Cur LR: 0.1
Epoch: 193, Loss: -0.8614662034706497, Cur LR: 0.1
Epoch: 194, Loss: -0.8640843082523947, Cur LR: 0.1
Epoch: 195, Loss: -0.871805667877197, Cur LR: 0.1
Epoch: 196, Loss: -0.8594448296528941, Cur LR: 0.1
Epoch: 197, Loss: -0.8065374264927031, Cur LR: 0.1
Epoch: 198, Loss: -0.8760805214351074, Cur LR: 0.1
Epoch: 199, Loss: -0.6774228719420403, Cur LR: 0.1
Epoch: 200, Loss: -0.7213407455000489, Cur LR: 0.1
Epoch: 201, Loss: -0.7930976579774097, Cur LR: 0.1
Epoch: 202, Loss: -0.7896542537887145, Cur LR: 0.1
Epoch: 203, Loss: -0.8261007044300342, Cur LR: 0.1
Epoch: 204, Loss: -0.8752288855846573, Cur LR: 0.1
Epoch: 205, Loss: -0.8747038931216836, Cur LR: 0.1
Epoch: 206, Loss: -0.7984248969539907, Cur LR: 0.1
Epoch: 207, Loss: -0.8597354401582447, Cur LR: 0.1
Epoch: 208, Loss: -0.8414615467659332, Cur LR: 0.1
Epoch: 209, Loss: -0.8808591665711796, Cur LR: 0.1
Epoch: 210, Loss: -0.86653125623487, Cur LR: 0.1
Epoch: 211, Loss: -0.8612563909974486, Cur LR: 0.1
Epoch: 212, Loss: -0.8665917080903199, Cur LR: 0.1
Epoch: 213, Loss: -0.860680766075662, Cur LR: 0.1
Epoch: 214, Loss: -0.8574284809940269, Cur LR: 0.1
Epoch: 215, Loss: -0.8521568730192365, Cur LR: 0.1
Epoch: 216, Loss: -0.853846123008608, Cur LR: 0.1
Epoch: 217, Loss: -0.8548692967156944, Cur LR: 0.1
Epoch: 218, Loss: -0.8577014950086487, Cur LR: 0.1
Epoch: 219, Loss: -0.8576187015329522, Cur LR: 0.1
Epoch: 220, Loss: -0.8545409433496819, Cur LR: 0.1
Epoch: 221, Loss: -0.8541013793375513, Cur LR: 0.1
Epoch: 222, Loss: -0.8516578175736674, Cur LR: 0.1
Epoch: 223, Loss: -0.8536925128420942, Cur LR: 0.1
Epoch: 224, Loss: -0.8556446901657295, Cur LR: 0.1
Epoch: 225, Loss: -0.8585416434695886, Cur LR: 0.1
Epoch: 226, Loss: -0.850875715414683, Cur LR: 0.1
Epoch: 227, Loss: -0.8507019101448781, Cur LR: 0.1
Epoch: 228, Loss: -0.8567430155832064, Cur LR: 0.1
Epoch: 229, Loss: -0.8510076677274405, Cur LR: 0.1
Epoch: 230, Loss: -0.8471192361423806, Cur LR: 0.1
Epoch: 231, Loss: -0.8530376002473646, Cur LR: 0.1
Epoch: 232, Loss: -0.8468467964316312, Cur LR: 0.1
Epoch: 233, Loss: -0.8460292864895465, Cur LR: 0.1
Epoch: 234, Loss: -0.8561025239386645, Cur LR: 0.1
Epoch: 235, Loss: -0.8480405811243837, Cur LR: 0.1
Epoch: 236, Loss: -0.8511961331157564, Cur LR: 0.1
Epoch: 237, Loss: -0.8461305427851168, Cur LR: 0.1
Epoch: 238, Loss: -0.8464515325408308, Cur LR: 0.1
Epoch: 239, Loss: -0.8522240155897801, Cur LR: 0.1
Epoch: 240, Loss: -0.8502927621205647, Cur LR: 0.1
Epoch: 241, Loss: -0.8561101012259911, Cur LR: 0.1
Epoch: 242, Loss: -0.8489453950018249, Cur LR: 0.1
Epoch: 243, Loss: -0.9314249701469952, Cur LR: 0.1
Epoch: 244, Loss: -0.9311778436666767, Cur LR: 0.1
Epoch: 245, Loss: -0.928443742623119, Cur LR: 0.1
Epoch: 246, Loss: -0.9252624253057082, Cur LR: 0.1
Epoch: 247, Loss: -0.9256140304811342, Cur LR: 0.1
Epoch: 248, Loss: -0.9251230569005763, Cur LR: 0.1
Epoch: 249, Loss: -0.9220205920297397, Cur LR: 0.1
Epoch: 250, Loss: -0.9182161280194171, Cur LR: 0.1
